すう / すいます;Aspirer
あう / あいます;Voir, rencontrer
とる / とります;Prendre
しゃしんをとる / しゃしんをとります;Prendre une photo
おはなみをする / おはなみをします;Regarder des cerisiers
かいぎをする / かいぎをします;Organiser une réunion
いっしょに;Ensemble
やすみましょう;Reposons-nous
のみましょう;Buvons
しましょう;Faisons
くだもの;Fruit
にく;Viande
さかな;Poisson
やさい;Légume
みせ;Magasin
こうちゃ;Thé noir
にわ;Jardin
のみませんか;Ça vous dirait boire …?
ビデオ;Vidéo
いいですね;C’est bien, ça.
レポート;Rapport
きっさてん;Café (en tant que lieu)
パーテイーをする;Faire une soirée
ときどき;De temps en temps
いつも;toujours
どうりょう;collègue
ふく;Vêtement
ネクタイ;cravate
いってらっしゃい;Au revoir (à qqn qui part chez soi et revient)
いらっしゃい;"くる、いく、かえる
honorifique"
いってきます;Je m’en vais
もういっかい;Encore une fois
ただいま;Je suis rentré
おかえりなさい;Bien revenu
つくる / つくります;Créer, fabriquer, préparer un repas
れいぞうこ;frigo
こたえる こたえます;répondre
だれもこたえません;Personne ne répond
もういっかい;Encore une fois
おめでとう;félicitation
あげる / あげます;Donner, offrir
おてら;Temple bouddhiste
おまつり;festival